Species name,Distribution,Food use,Food use,References for plant uses
Lycium acutifolium ,"South Africa, Madagascar, Lesotho","South Africa, Madagascar, Lesotho","South Africa, Madagascar, Lesotho","South Africa, Madagascar, Lesotho"
Lycium afrum Lycium,,,,
Lycium ameghinoi Speg.,,,,
Lycium americanum Jacq.,,,,
Lycium amoenum Dammer,,,,
Lycium anatolicum A.Baytop & R.R.Mill ,,,,
Lycium andersonii A. Gray,,,,
Lycium andersonii var. deserticola (C.Lycium Hitchc.) Jeps.,,,,
Lycium arenicolum Miers,,,,
Lycium athium Bernardello,,,,
Lycium australe F.Muell.,,,,
Lycium barbarum Lycium,,,,
Lycium berberioides Correll,,,,
Lycium berlandieri Dunal,,,,
Lycium berlandieri var. parviflorum (A. Gray) A. Terracc.,,,,
Lycium bosciifolium Schinz,,,,
Lycium brevipes Benth.,,,,
Lycium californicum A. Gray,,,,
Lycium carinatum S. Watson,,,,
Lycium carolinianum Walter,,,,
Lycium carolinianum var. quadrifidum (Moc. & Sess¨¦ ex Dunal) C.Lycium Hitchc.,,,,
Lycium cestroides Schltdl.,,,,
Lycium chanar Phil.,,,,
Lycium chilense Bertero,,,,
Lycium chinense Mill.,,,,
Lycium chinense var. potaninii (Pojark.) A.M.Lu,,,,
Lycium ciliatum Schltdl.,,,,
Lycium cinereum Thunb.,,,,
Lycium cooperi A. Gray,,,,
Lycium cuneatum Dammer,,,,
Lycium cyathiformum C.Lycium Hitchc.,,,,
Lycium cylindricum Kuang & A. M. Lu,,,,
Lycium dasystemum Pojark.,,,,
Lycium decumbens Welw. ex Hiern,,,,
Lycium densifolium Wiggins,,,,
Lycium depressum Stocks,,,,
Lycium deserti Phil.,,,,
Lycium dispermum Wiggins,,,,
Lycium distichum Meyen,,,,
Lycium divaricatum Rusby,,,,
Lycium edgeworthii Miers,,,,
Lycium eenii S. Moore,,,,
Lycium elongatum Miers,,,,
Lycium europaeum Lycium,,,,
Lycium exsertum A. Gray,,,,
Lycium ferocissimum Miers,,,,
Lycium fremontii A. Gray,,,,
Lycium fuscum Miers,,,,
Lycium gariepense A.M.Venter,,,,
Lycium gilliesianum Miers,,,,
Lycium glomeratum Sendtn.,,,,
Lycium grandicalyx Joubert & Venter,,,,
Lycium hantamense A.M.Venter,,,,
Lycium hassei Greene,,,,
Lycium hirsutum Dunal,,,,
Lycium horridum Thunb.,,,,
Lycium humile Phil.,,,,
Lycium infaustum Miers,,,,
Lycium intricatum Boiss.,,,,
Lycium isthmense F. Chiang,,,,
Lycium leiostemum Wedd.,,,,
Lycium macrodon A. Gray,,,,
Lycium makranicum Schonebeck-Temesy,,,,
Lycium martii Sendtn.,,,,
Lycium mascarenense A.M. Venter & A.J. Scott,,,,
Lycium megacarpum Wiggins,,,,
Lycium minimum C.Lycium Hitchc.,,,,
Lycium minutifolium Remy,,,,
Lycium morongii Britton,,,,
Lycium nodosum Miers,,,,
Lycium oxycarpum Dunal,,,,
Lycium pallidum Miers,,,,
Lycium parishii A. Gray,,,,
Lycium parishii var. modestum (I.M. Johnst.) F. Chiang,,,,
Lycium petraeum Feinbrun,,,,
Lycium pilifolium C.H. Wright,,,,
Lycium prunus-spinosa Dunal,,,,
Lycium puberulum A. Gray,,,,
Lycium pubitubum C.LyciumHitchc.,,,,
Lycium pumilum Dammer,,,,
Lycium rachidocladum Dunal,,,,
Lycium repens Speg.,,,,
Lycium richii A. Gray,,,,
Lycium ruthenicum Murray,,,,
Lycium sandwicense A. Gray,,,,
Lycium schizocalyx C.H. Wright,,,,
Lycium schreiteri F.A.Barkley,,,,
Lycium schweinfurthii Dammer,,,,
Lycium shawii Roem. & Schult.,,,,
Lycium shockleyi A. Gray,,,,
Lycium stenophyllum J. R¨¦my,,,,
Lycium strandveldense A.M. Venter,,,,
Lycium tenuispinosum S.B. Jones & W.Z. Faust,,,,
Lycium tenuispinosum var. friesii (Dammer) C.H. Hitchc.,,,,
Lycium tetrandrum Thunb.,,,,
Lycium texanum Correll,,,,
Lycium torreyi A. Gray,,,,
Lycium truncatum Y.C. Wang,,,,
Lycium tweedianum Griseb.,,,,
Lycium verrucosum Eastw.,,,,
Lycium villosum Schinz,,,,
Lycium vimineum Miers,,,,
Lycium yunnanense Kuang & A.M. Lu,,,,
