"kew_id","family","genus","taxon_name","taxonomic_status","accepted_name","accepted_kew_id"
"30001330-2","Solanaceae","Lycium","Lycium","Accepted","",""
"816320-1","Solanaceae","Lycium","Lycium abeliiflorum","Synonym","Lycium shawii","816629-1"
"146677-2","Solanaceae","Lycium","Lycium acanthocladium","Synonym","Lycium gilliesianum","816461-1"
"816322-1","Solanaceae","Lycium","Lycium aciculare","Synonym","Lycium bosciifolium","816366-1"
"816323-1","Solanaceae","Lycium","Lycium acnistoides","Synonym","Lycium martii","816526-1"
"816324-1","Solanaceae","Lycium","Lycium acutifolium","Accepted","",""
"816329-1","Solanaceae","Lycium","Lycium afrum","Synonym","Lycium afrum","816326-1"
"816326-1","Solanaceae","Lycium","Lycium afrum","Accepted","",""
"816333-1","Solanaceae","Lycium","Lycium aggregatum","Synonym","Iochroma arborescens","77186334-1"
"816334-1","Solanaceae","Lycium","Lycium albiflorum","Synonym","Lycium shawii","816629-1"
"77158466-1","Solanaceae","Lycium","Lycium amarum","Accepted","",""
"146678-2","Solanaceae","Lycium","Lycium ameghinoi","Accepted","",""
"816336-1","Solanaceae","Lycium","Lycium americanum","Accepted","",""
"146679-2","Solanaceae","Lycium","Lycium americanum var. chrysocarpum","Synonym","Lycium americanum","816336-1"
"816337-1","Solanaceae","Lycium","Lycium amoenum","Accepted","",""
"816338-1","Solanaceae","Lycium","Lycium anatolicum","Accepted","",""
"816339-1","Solanaceae","Lycium","Lycium andersonii","Accepted","",""
"77225155-1","Solanaceae","Lycium","Lycium andersonii var. andersonii","Accepted","",""
"146680-2","Solanaceae","Lycium","Lycium andersonii var. deserticola","Accepted","",""
"289765-2","Solanaceae","Lycium","Lycium andersonii f. deserticola","Homotypic_Synonym","Lycium andersonii var. deserticola","146680-2"
"289461-2","Solanaceae","Lycium","Lycium andersonii var. pubescens","Synonym","Lycium andersonii var. andersonii","77225155-1"
"816340-1","Solanaceae","Lycium","Lycium angustifolium","Unplaced","",""
"816341-1","Solanaceae","Lycium","Lycium apiculatum","Synonym","Lycium horridum","816485-1"
"816342-1","Solanaceae","Lycium","Lycium arabicum","Synonym","Lycium shawii","816629-1"
"816343-1","Solanaceae","Lycium","Lycium arborescens","Homotypic_Synonym","Iochroma arborescens","77186334-1"
"816344-1","Solanaceae","Lycium","Lycium arenicola","Accepted","",""
"816345-1","Solanaceae","Lycium","Lycium × argentinocestroides","Unplaced","",""
"816346-1","Solanaceae","Lycium","Lycium argentinoelongatum","Unplaced","",""
"816347-1","Solanaceae","Lycium","Lycium argentinum","Synonym","Lycium ciliatum","816391-1"
"816348-1","Solanaceae","Lycium","Lycium armatum","Accepted","",""
"146682-2","Solanaceae","Lycium","Lycium arochae","Accepted","",""
"816350-1","Solanaceae","Lycium","Lycium aschersonii","Homotypic_Synonym","Lycium schweinfurthii var. aschersonii","77251522-1"
"279961-2","Solanaceae","Lycium","Lycium athium","Accepted","",""
"816351-1","Solanaceae","Lycium","Lycium australe","Accepted","",""
"816352-1","Solanaceae","Lycium","Lycium austrinum","Synonym","Lycium oxycarpum","816563-1"
"816353-1","Solanaceae","Lycium","Lycium bachmannii","Synonym","Lycium afrum","816326-1"
"816354-1","Solanaceae","Lycium","Lycium bachmannii","Synonym","Lycium afrum","816326-1"
"816358-1","Solanaceae","Lycium","Lycium barbarum","Synonym","Lycium shawii","816629-1"
"816355-1","Solanaceae","Lycium","Lycium barbarum","Synonym","Lycium chinense var. chinense","77225335-1"
"816356-1","Solanaceae","Lycium","Lycium barbarum","Accepted","",""
"891635-1","Solanaceae","Lycium","Lycium barbarum var. aurantiicarpum","Accepted","",""
"77224962-1","Solanaceae","Lycium","Lycium barbarum var. barbarum","Accepted","",""
"77118770-1","Solanaceae","Lycium","Lycium barbarum var. implicatum","Synonym","Lycium barbarum var. barbarum","77224962-1"
"816359-1","Solanaceae","Lycium","Lycium barbatum","Synonym","Lycium barbarum var. barbarum","77224962-1"
"816360-1","Solanaceae","Lycium","Lycium barbinodum","Accepted","",""
"146684-2","Solanaceae","Lycium","Lycium berberidoides","Homotypic_Synonym","Lycium puberulum var. berberidoides","146828-2"
"816362-1","Solanaceae","Lycium","Lycium berlandieri","Accepted","",""
"289457-2","Solanaceae","Lycium","Lycium berlandieri var. andersonii","Synonym","Lycium andersonii var. andersonii","77225155-1"
"146686-2","Solanaceae","Lycium","Lycium berlandieri var. barbinodum","Synonym","Lycium barbinodum","816360-1"
"77225119-1","Solanaceae","Lycium","Lycium berlandieri var. berlandieri","Accepted","",""
"289287-2","Solanaceae","Lycium","Lycium berlandieri subvar. brachyanthum","Synonym","Lycium berlandieri var. berlandieri","77225119-1"
"146687-2","Solanaceae","Lycium","Lycium berlandieri var. brevilobum","Synonym","Lycium berlandieri var. parviflorum","289458-2"
"289290-2","Solanaceae","Lycium","Lycium berlandieri var. brevipes","Synonym","Lycium brevipes var. brevipes","77225454-1"
"146688-2","Solanaceae","Lycium","Lycium berlandieri var. longiflorum","Synonym","Lycium berlandieri var. berlandieri","77225119-1"
"146689-2","Solanaceae","Lycium","Lycium berlandieri var. longistylum","Accepted","",""
"146690-2","Solanaceae","Lycium","Lycium berlandieri var. miersii","Synonym","Lycium berlandieri var. berlandieri","77225119-1"
"146691-2","Solanaceae","Lycium","Lycium berlandieri var. normale","Synonym","Lycium berlandieri","816362-1"
"289289-2","Solanaceae","Lycium","Lycium berlandieri var. palmeri","Synonym","Lycium berlandieri var. berlandieri","77225119-1"
"289458-2","Solanaceae","Lycium","Lycium berlandieri var. parviflorum","Accepted","",""
"146692-2","Solanaceae","Lycium","Lycium berlandieri f. parviflorum","Homotypic_Synonym","Lycium berlandieri var. parviflorum","289458-2"
"146693-2","Solanaceae","Lycium","Lycium berlandieri var. peninsulare","Synonym","Lycium berlandieri var. berlandieri","77225119-1"
"289456-2","Solanaceae","Lycium","Lycium berlandieri subvar. pubescens","Synonym","Lycium berlandieri var. berlandieri","77225119-1"
"289288-2","Solanaceae","Lycium","Lycium berlandieri subvar. richii","Synonym","Lycium brevipes var. brevipes","77225454-1"
"289286-2","Solanaceae","Lycium","Lycium berlandieri var. schaffneri","Homotypic_Synonym","Lycium schaffneri","816618-1"
"289455-2","Solanaceae","Lycium","Lycium berlandieri subvar. wrightii","Synonym","Lycium berlandieri var. berlandieri","77225119-1"
"146694-2","Solanaceae","Lycium","Lycium biesei","Synonym","Lycium leiostemum","816513-1"
"816365-1","Solanaceae","Lycium","Lycium boerhaviifolium","Accepted","",""
"816366-1","Solanaceae","Lycium","Lycium bosciifolium","Accepted","",""
"816367-1","Solanaceae","Lycium","Lycium brachyanthum","Homotypic_Synonym","Citharexylum brachyanthum","59425-2"
"146695-2","Solanaceae","Lycium","Lycium breanum","Synonym","Lycium deserti","816414-1"
"816369-1","Solanaceae","Lycium","Lycium brevipes","Accepted","",""
"77225454-1","Solanaceae","Lycium","Lycium brevipes var. brevipes","Accepted","",""
"146696-2","Solanaceae","Lycium","Lycium brevipes var. hassei","Accepted","",""
"816370-1","Solanaceae","Lycium","Lycium brevistylum","Unplaced","",""
"77112885-1","Solanaceae","Lycium","Lycium bridgesii","Accepted","",""
"816371-1","Solanaceae","Lycium","Lycium caespitosum","Synonym","Lycium cinereum","816392-1"
"816372-1","Solanaceae","Lycium","Lycium californicum","Accepted","",""
"289283-2","Solanaceae","Lycium","Lycium californicum var. arizonicum","Accepted","",""
"77225100-1","Solanaceae","Lycium","Lycium californicum subsp. californicum","Accepted","",""
"146698-2","Solanaceae","Lycium","Lycium californicum subsp. carinatum","Accepted","",""
"146699-2","Solanaceae","Lycium","Lycium californicum var. interior","Accepted","",""
"816373-1","Solanaceae","Lycium","Lycium campanulatum","Synonym","Lycium afrum","816326-1"
"816375-1","Solanaceae","Lycium","Lycium canescens","Unplaced","",""
"816376-1","Solanaceae","Lycium","Lycium canum","Unplaced","",""
"816377-1","Solanaceae","Lycium","Lycium capense","Unplaced","",""
"816378-1","Solanaceae","Lycium","Lycium capillare","Unplaced","",""
"816379-1","Solanaceae","Lycium","Lycium capsulare","Synonym","Hydrolea spinosa var. spinosa","77231034-1"
"146701-2","Solanaceae","Lycium","Lycium carinatum","Homotypic_Synonym","Lycium californicum subsp. carinatum","146698-2"
"77197108-1","Solanaceae","Lycium","Lycium carnosum","Synonym","Lycium afrum","816326-1"
"816383-1","Solanaceae","Lycium","Lycium carnosum","Synonym","Lycium requienii","816600-1"
"816384-1","Solanaceae","Lycium","Lycium carolinianum","Accepted","",""
"146703-2","Solanaceae","Lycium","Lycium carolinianum var. californicum","Unplaced","",""
"77225814-1","Solanaceae","Lycium","Lycium carolinianum var. carolinianum","Accepted","",""
"289248-2","Solanaceae","Lycium","Lycium carolinianum var. cedrocense","Unplaced","",""
"146704-2","Solanaceae","Lycium","Lycium carolinianum var. gaumeri","Unplaced","",""
"289250-2","Solanaceae","Lycium","Lycium carolinianum f. hassei","Homotypic_Synonym","Lycium brevipes var. hassei","146696-2"
"289249-2","Solanaceae","Lycium","Lycium carolinianum f. jacquiniana","Synonym","Lycium americanum","816336-1"
"146705-2","Solanaceae","Lycium","Lycium carolinianum var. normale","Synonym","Lycium carolinianum","816384-1"
"146706-2","Solanaceae","Lycium","Lycium carolinianum var. quadrifidum","Accepted","",""
"816386-1","Solanaceae","Lycium","Lycium cestroides","Accepted","",""
"146708-2","Solanaceae","Lycium","Lycium cestroides var. normale","Synonym","Lycium cestroides","816386-1"
"146709-2","Solanaceae","Lycium","Lycium chanar","Accepted","",""
"816388-1","Solanaceae","Lycium","Lycium chilense","Accepted","",""
"289239-2","Solanaceae","Lycium","Lycium chilense var. capillare","Synonym","Lycium chilense var. filifolium","279963-2"
"77225834-1","Solanaceae","Lycium","Lycium chilense var. chilense","Accepted","",""
"279962-2","Solanaceae","Lycium","Lycium chilense var. comberi","Accepted","",""
"146711-2","Solanaceae","Lycium","Lycium chilense var. confertifolium","Accepted","",""
"146712-2","Solanaceae","Lycium","Lycium chilense var. descolei","Accepted","",""
"289243-2","Solanaceae","Lycium","Lycium chilense var. deserticum","Synonym","Lycium deserti","816414-1"
"289238-2","Solanaceae","Lycium","Lycium chilense subvar. filifolium","Homotypic_Synonym","Lycium chilense var. filifolium","279963-2"
"279963-2","Solanaceae","Lycium","Lycium chilense var. filifolium","Accepted","",""
"289242-2","Solanaceae","Lycium","Lycium chilense var. gelidum","Synonym","Lycium chilense var. chilense","77225834-1"
"289246-2","Solanaceae","Lycium","Lycium chilense var. glaberrimum","Accepted","",""
"146713-2","Solanaceae","Lycium","Lycium chilense var. glabriusculum","Synonym","Lycium chilense var. glaberrimum","289246-2"
"146714-2","Solanaceae","Lycium","Lycium chilense subsp. gracile","Synonym","Lycium chilense var. glaberrimum","289246-2"
"289240-2","Solanaceae","Lycium","Lycium chilense var. gracile","Synonym","Lycium chilense var. glaberrimum","289246-2"
"146715-2","Solanaceae","Lycium","Lycium chilense var. heterophyllum","Synonym","Lycium americanum","816336-1"
"146716-2","Solanaceae","Lycium","Lycium chilense var. implexum","Synonym","Lycium minutifolium","816540-1"
"146717-2","Solanaceae","Lycium","Lycium chilense var. meyeri","Synonym","Lycium ciliatum","816391-1"
"146718-2","Solanaceae","Lycium","Lycium chilense var. minutifolium","Accepted","",""
"289245-2","Solanaceae","Lycium","Lycium chilense var. nodosum","Synonym","Lycium americanum","816336-1"
"146719-2","Solanaceae","Lycium","Lycium chilense var. normale","Synonym","Lycium chilense var. chilense","77225834-1"
"146721-2","Solanaceae","Lycium","Lycium chilense var. odonellii","Synonym","Lycium chilense var. chilense","77225834-1"
"146722-2","Solanaceae","Lycium","Lycium chilense var. ovatum","Synonym","Lycium chilense var. chilense","77225834-1"
"146723-2","Solanaceae","Lycium","Lycium chilense subsp. paraguariense","Synonym","Lycium americanum","816336-1"
"146724-2","Solanaceae","Lycium","Lycium chilense var. peruviense","Synonym","Lycium chilense var. glaberrimum","289246-2"
"146725-2","Solanaceae","Lycium","Lycium chilense var. petiolatum","Synonym","Lycium chilense var. chilense","77225834-1"
"146726-2","Solanaceae","Lycium","Lycium chilense var. rachidocladum","Homotypic_Synonym","Lycium rachidocladum","816597-1"
