Species,Distribution,Food,Medicine,Tree_181113,,,,,,,,,,
Lycium acutifolium,Africa,1,1,0 ,,,,,,,,,,
Lycium afrum,Africa,1,1,1 ,,,,,,,,,,
Lycium ameghinoi,South America,0,0,1 ,,,,,,,,,,
Lycium americanum,South America,1,0,1 ,,,,,,,,,,
Lycium andersonii,North America,1,0,1 ,,,,,,,,,,
Lycium andersonii var. deserticola,North America,1,0,0 ,,,,,,,,,,
Lycium arenicolum,Africa,0,0,0 ,,,,,,,,,,
Lycium barbarum,Eurasia,1,1,1 ,,,,,,,,,,
Lycium berberioides,North America,0,0,0 ,,,,,,,,,,
Lycium berlandieri,North America,1,1,1 ,,,,,,,,,,
Lycium berlandieri var. parviflorum,North America,1,1,0 ,,,,,,,,,,
Lycium bosciifolium,Africa,1,0,1 ,,,,,,,,,,
Lycium brevipes,North America,0,0,1 ,,,,,,,,,,
Lycium californicum,North America,0,0,1 ,,,,,,,,,,
Lycium carinatum,North America,0,0,0 ,,,,,,,,,,
Lycium carolinianum,North America+Pacific Ocean,1,0,1 ,,,,,,,,,,
Lycium carolinianum var. quadrifidum,North America+Pacific Ocean,1,0,0 ,,,,,,,,,,
Lycium cestroides,South America,0,1,1 ,,,,,,,,,,
Lycium chanar,South America,0,0,1 ,,,,,,,,,,
Lycium chilense,South America,0,1,1 ,,,,,,,,,,
Lycium chinense,Eurasia,1,1,1 ,,,,,,,,,,
Lycium chinense var. potaninii,Eurasia,1,1,0 ,,,,,,,,,,
Lycium ciliatum,South America,0,1,1 ,,,,,,,,,,
Lycium cinereum,Africa,1,1,1 ,,,,,,,,,,
Lycium cooperi,North America,0,0,1 ,,,,,,,,,,
Lycium cuneatum,South America,0,0,1 ,,,,,,,,,,
Lycium cyathiformum,South America,0,0,0 ,,,,,,,,,,
Lycium cylindricum,Eurasia,0,0,1 ,,,,,,,,,,
Lycium dasystemum,Eurasia,1,1,1 ,,,,,,,,,,
Lycium decumbens,Africa,0,0,0 ,,,,,,,,,,
Lycium densifolium,North America,0,0,0 ,,,,,,,,,,
Lycium depressum,Eurasia,0,1,0 ,,,,,,,,,,
Lycium deserti,South America,0,0,0 ,,,,,,,,,,
Lycium dispermum,North America,0,0,0 ,,,,,,,,,,
Lycium distichum,South America,0,0,0 ,,,,,,,,,,
Lycium divaricatum,South America,0,0,0 ,,,,,,,,,,
Lycium edgeworthii,Eurasia,0,0,1 ,,,,,,,,,,
Lycium eenii,Africa,0,0,0 ,,,,,,,,,,
Lycium elongatum,South America,0,1,1 ,,,,,,,,,,
Lycium europaeum,Eurasia,1,1,1 ,,,,,,,,,,
Lycium exsertum,North America,1,0,1 ,,,,,,,,,,
Lycium ferocissimum,Africa,0,0,1 ,,,,,,,,,,
Lycium fremontii,North America,1,0,1 ,,,,,,,,,,
Lycium fuscum,South America,0,0,1 ,,,,,,,,,,
Lycium gilliesianum,South America,0,0,1 ,,,,,,,,,,
Lycium glomeratum,South America,0,0,0 ,,,,,,,,,,
Lycium hassei,North America,0,0,0 ,,,,,,,,,,
Lycium hirsutum,Africa,0,0,1 ,,,,,,,,,,
Lycium horridum,Africa,0,0,1 ,,,,,,,,,,
Lycium humile,South America,0,0,0 ,,,,,,,,,,
Lycium infaustum,South America,0,0,1 ,,,,,,,,,,
Lycium intricatum,Africa,0,1,1 ,,,,,,,,,,
Lycium isthmense,North America,0,0,0 ,,,,,,,,,,
Lycium leiostemum,North America+South America,0,0,0 ,,,,,,,,,,
Lycium macrodon,North America,0,0,1 ,,,,,,,,,,
Lycium makranicum,Eurasia,0,0,0 ,,,,,,,,,,
Lycium martii,South America,0,0,0 ,,,,,,,,,,
Lycium mascarenense,Africa,0,0,0 ,,,,,,,,,,
Lycium megacarpum,North America,0,0,0 ,,,,,,,,,,
Lycium minimum,South America,0,0,1 ,,,,,,,,,,
Lycium minutifolium,South America,0,0,0 ,,,,,,,,,,
Lycium morongii,South America,0,0,1 ,,,,,,,,,,
Lycium nodosum,South America,0,0,1 ,,,,,,,,,,
Lycium oxycarpum,Africa,0,0,1 ,,,,,,,,,,
Lycium pallidum,North America,0,0,1 ,,,,,,,,,,
Lycium parishii,North America,1,0,1 ,,,,,,,,,,
Lycium parishii var. modestum,North America,1,0,0 ,,,,,,,,,,
Lycium pilifolium,Africa,0,0,1 ,,,,,,,,,,
Lycium prunus-spinosa,Africa,0,0,1 ,,,,,,,,,,
Lycium puberulum,North America,0,0,1 ,,,,,,,,,,
Lycium pumilum,Africa,1,1,1 ,,,,,,,,,,
Lycium rachidocladum,South America,0,0,1 ,,,,,,,,,,
Lycium repens,South America,0,0,0 ,,,,,,,,,,
Lycium richii,North America,1,0,0 ,,,,,,,,,,
Lycium ruthenicum,Eurasia,1,1,1 ,,,,,,,,,,
Lycium sandwicense,Pacific Ocean,1,0,1 ,,,,,,,,,,
Lycium schizocalyx,Africa,0,0,1 ,,,,,,,,,,
Lycium schweinfurthii,Africa+Eurasia,0,1,1 ,,,,,,,,,,
Lycium shawii,Africa+Eurasia,1,1,1 ,,,,,,,,,,
Lycium shockleyi,North America,0,0,1 ,,,,,,,,,,
Lycium stenophyllum,South America,0,0,0 ,,,,,,,,,,
Lycium strandveldense,Africa,0,0,0 ,,,,,,,,,,
Lycium tenuispinosum,South America,0,0,1 ,,,,,,,,,,
Lycium tenuispinosum var. friesii,South America,0,0,0 ,,,,,,,,,,
Lycium tetrandrum,Africa,0,0,1 ,,,,,,,,,,
Lycium texanum,North America,0,0,1 ,,,,,,,,,,
Lycium torreyi,North America,1,1,1 ,,,,,,,,,,
Lycium truncatum,Eurasia,0,1,1 ,,,,,,,,,,
Lycium tweedianum,South America,1,0,0 ,,,,,,,,,,
Lycium verrucosum,North America,0,0,0 ,,,,,,,,,,
Lycium villosum,Africa,0,0,1 ,,,,,,,,,,
Lycium vimineum,South America,0,0,1 ,,,,,,,,,,
Lycium woodii,Africa,0,0,0 ,,,,,,,,,,
Lycium yunnanense,Eurasia,0,0,1 ,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
