"search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches"
"lycium_acutifolium","Lycium acutifolium",TRUE,660393,FALSE,"",1
"lycium_afrum","Lycium afrum",TRUE,612893,FALSE,"",3
"lycium_ameghinoi","Lycium ameghinoi",TRUE,40032,FALSE,"",1
"lycium_americanum","Lycium americanum",TRUE,40034,FALSE,"",1
"lycium_amoenum","Lycium amoenum",TRUE,660388,FALSE,"",2
"lycium_anatolicum","Lycium anatolicum",TRUE,6091944,FALSE,"",1
"lycium_andersonii","Lycium andersonii",TRUE,1004203,FALSE,"",1
"lycium_arenicola","Lycium arenicola",TRUE,970947,FALSE,"",3
"lycium_argentino-cestroides","Lycium argentino-cestroides",TRUE,6091945,FALSE,"",1
"lycium_armatum","Lycium armatum",TRUE,6091946,FALSE,"",2
"lycium_arochae","Lycium arochae",TRUE,6091947,FALSE,"",2
"lycium_athium","Lycium athium",TRUE,660390,FALSE,"",1
"lycium_australe","Lycium australe",TRUE,40036,FALSE,"",2
"lycium_bachmannii","Lycium bachmannii",TRUE,6091948,FALSE,"",2
"lycium_barbarum","Lycium barbarum",TRUE,40038,FALSE,"",3
"lycium_barbinodum","Lycium barbinodum",TRUE,6091949,FALSE,"",1
"lycium_berlandieri","Lycium berlandieri",TRUE,40045,FALSE,"",1
"lycium_boerhaaviifolium","Lycium boerhaaviifolium",TRUE,6091950,FALSE,"",1
"lycium_bosciifolium","Lycium bosciifolium",TRUE,596960,FALSE,"",1
"lycium_brachyanthum","Lycium brachyanthum",TRUE,6091951,FALSE,"",2
"lycium_brevipes","Lycium brevipes",TRUE,109761,FALSE,"",1
"lycium_californicum","Lycium californicum",TRUE,40052,FALSE,"",8
"lycium_caroliniaum","Lycium carolinianum",TRUE,40028,FALSE,"",2
"lycium_cestroides","Lycium cestroides",TRUE,232465,FALSE,"",1
NA,NA,NA,NA,NA,NA,NA
"lycium_chanar","Lycium chanar",TRUE,660384,FALSE,"",1
"lycium_chilense","Lycium chinense",TRUE,58730,FALSE,"",3
"lycium_chinense","Lycium chinense",TRUE,58730,FALSE,"",6
"lycium_ciliato-elongatum","Lycium ciliato-elongatum",TRUE,6091952,FALSE,"",1
"lycium_ciliatum","Lilium ciliatum",TRUE,616499,FALSE,"",2
"lycium_cinereum","Lycium cinereum",TRUE,560951,FALSE,"",1
"lycium_cochinchinense","Lycium cochinchinense",TRUE,6091953,FALSE,"",5
"lycium_confusum","Lycium confusum",TRUE,6091954,FALSE,"",2
"lycium_cooperi","Lycium cooperi",TRUE,109758,FALSE,"",1
"lycium_cuneatum","Lycium cuneatum",TRUE,596962,FALSE,"",2
"lycium_cyathiforme","Lycium cyathiforme",TRUE,6091955,FALSE,"",1
"lycium_cylindricum","Lycium cylindricum",TRUE,5627,FALSE,"",3
"lycium_dasystemum","Lycium dasystemum",TRUE,798223,FALSE,"",1
"lycium_decumbens","Lycium decumbens",TRUE,660386,FALSE,"",2
"lycium_densifolium","Lycium densifolium",TRUE,6091956,FALSE,"",1
"lycium_deserti","Lycium deserti",TRUE,131407,FALSE,"",1
"lycium_distichum","Lilium distichum",TRUE,819134,FALSE,"",2
"lycium_edgeworthii","Lycium edgeworthii",TRUE,5232846,FALSE,"",1
"lycium_elongatum","Lycium elongatum",TRUE,560949,FALSE,"",3
"lycium_exsertum","Lycium exsertum",TRUE,650743,FALSE,"",1
"lycium_fagosum","Lycium fagosum",TRUE,6091958,FALSE,"",2
"lycium_ferocissimum","Lycium ferocissimum",TRUE,560945,FALSE,"",2
"lycium_filifolium","Lycium pilifolium",TRUE,560938,FALSE,"",2
"lycium_flexicaule","Lycium flexicaule",TRUE,6091959,FALSE,"",1
"lycium_fremontii","Lycium fremontii",TRUE,109764,FALSE,"",1
"lycium_fuscum","Lycium fuscum",TRUE,86082,FALSE,"",1
"lycium_gilliesianum","Lycium gilliesianum",TRUE,596956,FALSE,"",1
"lycium_grandicalyx","Lycium grandicalyx",TRUE,86086,FALSE,"",1
"lycium_grevilleanum","Lycium grevilleanum",TRUE,6091960,FALSE,"",2
"lycium_hantamense","Lycium hantamense",TRUE,6091961,FALSE,"",1
"lycium_hassei","Lycium hassei",TRUE,3870205,FALSE,"",1
"lycium_hirsutum","Lycium hirsutum",TRUE,596958,FALSE,"",2
"lycium_horridum","Lycium horridum",TRUE,596968,FALSE,"",4
"lycium_humile","Lycium humile",TRUE,6091962,FALSE,"",1
"lycium_imbricatum","Lycium intricatum",TRUE,596964,FALSE,"",4
"lycium_indicum","Lycium indicum",TRUE,6091964,FALSE,"",2
"lycium_infaustum","Lycium infaustum",TRUE,596971,FALSE,"",1
"lycium_intricatum","Lycium intricatum",TRUE,596964,FALSE,"",3
"lycium_kopetdaghi","Lycium kopetdaghi",TRUE,6091965,FALSE,"",1
"lycium_lanceolatum","Lycium lanceolatum",TRUE,6091966,FALSE,"",3
"lycium_leiospermum","Lycium leiospermum",TRUE,86084,FALSE,"",2
"lycium_leiostemum","Lycium leiospermum",TRUE,86084,FALSE,"",2
"lycium_macrodon","Lamium macrodon",TRUE,105754,FALSE,"",2
"lycium_makranicum","Lycium makranicum",TRUE,6091968,FALSE,"",1
"lycium_martii","Lycium martii",TRUE,5784116,FALSE,"",1
"lycium_mascarenense","Lycium mascarenense",TRUE,86071,FALSE,"",1
"lycium_megacarpum","Lycium megacarpum",TRUE,6091969,FALSE,"",1
"lycium_microphyllum","Lygodium microphyllum",TRUE,456427,FALSE,"",12
"lycium_minimum","Lycium minimum",TRUE,86069,FALSE,"",1
"lycium_minutifolium","Lycium minutifolium",TRUE,86076,FALSE,"",4
"lycium_morongii","Lycium morongii",TRUE,560943,FALSE,"",1
"lycium_nodosum","Lycium nodosum",TRUE,596966,FALSE,"",1
"lycium_obovatum","Lycium obovatum",TRUE,6091971,FALSE,"",5
"lycium_oxycarpum","Lycium oxycarpum",TRUE,596951,FALSE,"",1
"lycium_pallidum","Lycium pallidum",TRUE,560940,FALSE,"",1
"lycium_parishii","Lycium parishii",TRUE,109769,FALSE,"",1
"lycium_peninsulare","Lycium peninsulare",TRUE,6091972,FALSE,"",1
"lycium_petraeum","Lycium petraeum",TRUE,6091973,FALSE,"",1
"lycium_pilifolium","Lycium pilifolium",TRUE,560938,FALSE,"",2
"lycium_prunus-spinosa","Lycium prunus-spinosa",TRUE,560968,FALSE,"",2
"lycium_puberulum","Lycium puberulum",TRUE,31869,FALSE,"",2
"lycium_pubitubum","Lycium pubitubum",TRUE,6091974,FALSE,"",1
"lycium_pumilum","Lycium pumilum",TRUE,86074,FALSE,"",3
"lycium_qingshuigeense","Lycium qingshuiheense",TRUE,1073850,FALSE,"",2
"lycium_qingshuiheense","Lycium qingshuiheense",TRUE,1073850,FALSE,"",2
"lycium_quadrifidum","Lycium quadrifidum",TRUE,6091976,FALSE,"",1
"lycium_rachidocladum","Lycium rachidocladum",TRUE,86090,FALSE,"",1
"lycium_retusum","Lycium retusum",TRUE,6091977,FALSE,"",2
"lycium_ruthenicum","Lycium ruthenicum",TRUE,560965,FALSE,"",2
"lycium_sandwicense","Lycium sandwicense",TRUE,194443,FALSE,"",1
"lycium_schaffneri","Lycium schaffneri",TRUE,6091978,FALSE,"",2
"lycium_schizocalyx","Lycium schizocalyx",TRUE,913565,FALSE,"",1
"lycium_schreiteri","Lycium schreiteri",TRUE,6091979,FALSE,"",1
"lycium_shawii","Lycium shawii",TRUE,814789,FALSE,"",1
"lycium_shockleyi","Lycium shockleyi",TRUE,109774,FALSE,"",1
"lycium_sinense","Lycium chinense",TRUE,58730,FALSE,"",4
"lycium_sokotranum","Lycium sokotranum",TRUE,6091981,FALSE,"",1
"lycium_spathulatum","Lycium spathulatum",TRUE,6091982,FALSE,"",2
"lycium_stenophyllum","Lycium stenophyllum",TRUE,505217,FALSE,"",10
"lycium_strandveldense","Lycium strandveldense",TRUE,505219,FALSE,"",1
"lycium_tenue","Lycium tenue",TRUE,814776,FALSE,"",2
"lycium_tenuispinosum","Lycium tenuispinosum",TRUE,24215,FALSE,"",1
"lycium_tetrandrum","Lycium tetrandrum",TRUE,814854,FALSE,"",2
"lycium_texanum","Lycium texanum",TRUE,24212,FALSE,"",1
"lycium_torreyi","Lycium torreyi",TRUE,735524,FALSE,"",1
"lycium_villosum","Lycium villosum",TRUE,194441,FALSE,"",2
"lycium_vimineum","Lycium vimineum",TRUE,24219,FALSE,"",1
