Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Atropa belladonna,Atropa,,belladonna,NA,NA,,,kew-2665943,TRUE,1.1,Accepted,Solanaceae,Atropa,,belladonna,,,L.,kew-2665943,Accepted,FALSE,FALSE,FALSE,11/29/2018
Grabowskia boerhaaviifolia,Grabowskia,,boerhaaviifolia,NA,NA,,,kew-2831552,TRUE,1.1,Accepted,Solanaceae,Grabowskia,,boerhaaviifolia,,,(L.f.) Schltdl.,kew-2831552,Accepted,FALSE,FALSE,FALSE,11/29/2018
Grabowskia duplicata,Grabowskia,,duplicata,NA,NA,,,kew-2831556,TRUE,1.1,Accepted,Solanaceae,Grabowskia,,duplicata,,,Arn.,kew-2831556,Accepted,FALSE,FALSE,FALSE,11/29/2018
Grabowskia obtusa,Grabowskia,,obtusa,NA,NA,,,kew-2831565,TRUE,1.1,Accepted,Solanaceae,Grabowskia,,obtusa,,,Arn.,kew-2831565,Accepted,FALSE,FALSE,FALSE,11/29/2018
Jaborosa integrifolia,Jaborosa,,integrifolia,NA,NA,,,tro-29600760,TRUE,1.1,Accepted,Solanaceae,Jaborosa,,integrifolia,,,Lam.,tro-29600760,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium acutifolium,Lycium,,acutifolium,NA,NA,,,tro-29603771,TRUE,1.1,Accepted,Solanaceae,Lycium,,acutifolium,,,E. Mey. ex Dunal,tro-29603771,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium afrum,Lycium,,afrum,NA,NA,,,kew-2496320,TRUE,1.1,Accepted,Solanaceae,Lycium,,afrum,,,L.,kew-2496320,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium ameghinoi,Lycium,,ameghinoi,NA,NA,,,tro-29600012,TRUE,1.1,Accepted,Solanaceae,Lycium,,ameghinoi,,,Speg.,tro-29600012,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium americanum,Lycium,,americanum,NA,NA,,,tro-29600013,TRUE,1.1,Accepted,Solanaceae,Lycium,,americanum,,,Jacq.,tro-29600013,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium andersonii,Lycium,,andersonii,NA,NA,,,tro-29600014,TRUE,1.1,Accepted,Solanaceae,Lycium,,andersonii,,,A. Gray,tro-29600014,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium bosciifolium,Lycium,,bosciifolium,NA,NA,,,kew-2499121,TRUE,1.1,Accepted,Solanaceae,Lycium,,bosciifolium,,,Schinz,kew-2499121,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium brevipes,Lycium,,brevipes,NA,NA,,,tro-29600026,TRUE,1.1,Accepted,Solanaceae,Lycium,,brevipes,,,Benth.,tro-29600026,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium californicum,Lycium,,californicum,NA,NA,,,tro-29600028,TRUE,1.1,Accepted,Solanaceae,Lycium,,californicum,,,A. Gray,tro-29600028,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium cestroides,Lycium,,cestroides,NA,NA,,,tro-29600034,TRUE,1.1,Accepted,Solanaceae,Lycium,,cestroides,,,Schltdl.,tro-29600034,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium chanar,Lycium,,chanar,NA,NA,,,tro-29603941,TRUE,1.1,Accepted,Solanaceae,Lycium,,chanar,,,Phil.,tro-29603941,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium chilense,Lycium,,chilense,NA,NA,,,tro-29600035,TRUE,1.1,Accepted,Solanaceae,Lycium,,chilense,,,Bertero,tro-29600035,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium chinense,Lycium,,chinense,NA,NA,,,kew-2496344,TRUE,1.1,Accepted,Solanaceae,Lycium,,chinense,,,Mill.,kew-2496344,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium ciliatum,Lycium,,ciliatum,NA,NA,,,tro-50065691,TRUE,1.1,Accepted,Solanaceae,Lycium,,ciliatum,,,Schltdl.,tro-50065691,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium cinereum,Lycium,,cinereum,NA,NA,,,tro-29603782,TRUE,1.1,Accepted,Solanaceae,Lycium,,cinereum,,,Thunb.,tro-29603782,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium cooperi,Lycium,,cooperi,NA,NA,,,tro-29600038,TRUE,1.1,Accepted,Solanaceae,Lycium,,cooperi,,,A. Gray,tro-29600038,Accepted,FALSE,FALSE,FALSE,11/29/2018
