"Cluster.ID","Parent","TaxIDs","GIs","Species","L.min","L.max","MAD","Defline.of.longest.sequence"
"3","24646",77,190,75,673,1866,0.736887234162577,"Lycium macrodon voucher Miller 97-21 ARIZ granule-bound starch synthase (GBSSI) gene, exons 2 through 10 and partial cds"
"4","24646",68,175,64,423,965,0.537492227979275,"Lycium sp. UASWS1513 tRNA-Leu (trnL) gene, partial sequence; trnL-trnF intergenic spacer, complete sequence; and tRNA-Phe (trnF) gene, partial sequence; chloroplast"
"5","24646",60,98,56,352,401,0.923431217873683,"Lycium afrum chloroplast DNA, intergenic region between trnL (UAA) and trnF (GAA)"
"6","24646",58,88,55,625,695,0.970879659908437,"Lycium pallidum voucher Miller 97-20 ARIZ tRNA-Thr (trnT) gene, partial sequence; trnT-trnL intergenic spacer, complete sequence; and tRNA-Leu (trnL) gene, partial sequence; chloroplast"
"0","24646",51,240,51,536,889,0.846189538807649,"Lycium pumilum voucher Miller et al. 05-125 GH trnD-trnY intergenic spacer, partial sequence; tRNA-Tyr (trnY) gene, trnY-trnE intergenic spacer, and tRNA-Glu (trnE) gene, complete sequence; and trnE-trnT intergenic spacer, partial sequence; plastid"
"1","24646",45,235,45,581,797,0.936474545503083,"Lycium shawii voucher Kamath 09-16 GH ndhF-rpl32 intergenic spacer, partial sequence; and ribosomal protein L32 (rpl32) gene, partial cds; chloroplast"
"2","24646",44,235,44,702,785,0.935335411302344,"Lycium carolinianum voucher Hempel 843 TAIC Rpl32 (rpl32) gene, partial cds; and rpl32-trnL intergenic spacer, partial sequence; chloroplast"
"8","24646",34,62,34,624,1102,0.889438557461507,"Lycium puberulum voucher Levin 97-6 ARIZ conserved ortholog set II marker C2_At1g24360 allele 2 genomic sequence"
"12","24646",28,50,26,542,1226,0.800424143556281,"Lycium cinereum chloroplast matK gene for maturase K, partial cds"
"17","24646",26,27,26,348,417,0.961541877609024,"Lycium villosum voucher Venter 652 BLFU nitrate reductase (NIA) gene, exons 1 through 3 and partial cds"
"14","24646",19,40,19,250,273,0.961263736263736,"Lycium barbarum Ningxia Huangguo internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence"
